,a2_i,a2_j,a1_i,a1_j,b2_i,b2_j,b1_i,b1_j,y1,y2
0,6.0,3.0,6.0,3.0,,,4.0,3.0,1.0,0.0
1,6.0,4.0,6.0,2.0,,,4.0,4.0,1.0,0.0
2,6.0,5.0,6.0,2.0,,,,,1.0,0.0
3,6.0,4.0,6.0,1.0,,,3.0,4.0,1.0,0.0
4,6.0,4.0,6.0,1.0,,,2.0,4.0,1.0,0.0
5,6.0,3.0,6.0,1.0,,,,,3.0,0.0
6,6.0,3.0,6.0,2.0,,,,,3.0,0.0
7,6.0,3.0,6.0,3.0,,,,,3.0,0.0
8,6.0,3.0,6.0,4.0,,,,,3.0,0.0
9,5.0,3.0,,,,,,,2.0,0.0
10,5.0,4.0,6.0,4.0,,,1.0,4.0,2.0,0.0
11,5.0,4.0,6.0,4.0,,,0.0,4.0,2.0,0.0
12,5.0,4.0,6.0,4.0,,,1.0,4.0,2.0,0.0
13,4.0,4.0,,,,,2.0,4.0,2.0,0.0
14,4.0,5.0,,,,,,,2.0,0.0
15,4.0,6.0,,,,,,,2.0,0.0
16,4.0,6.0,,,,,2.0,6.0,2.0,0.0
17,3.0,6.0,,,,,,,2.0,0.0
18,3.0,5.0,,,,,,,1.0,0.0
19,3.0,5.0,,,,,,,1.0,0.0
20,3.0,5.0,,,,,,,1.0,0.0
21,2.0,5.0,,,,,2.0,3.0,1.0,0.0
22,2.0,6.0,6.0,6.0,,,2.0,4.0,0.0,0.0
23,2.0,5.0,,,,,2.0,3.0,1.0,0.0
24,3.0,5.0,6.0,5.0,,,,,1.0,0.0
25,3.0,5.0,5.0,5.0,,,3.0,2.0,1.0,0.0
26,2.0,5.0,,,,,,,1.0,0.0
27,3.0,5.0,,,,,,,1.0,0.0
28,3.0,6.0,,,,,,,0.0,0.0
29,4.0,6.0,,,,,4.0,2.0,0.0,0.0
30,3.0,6.0,,,,,,,0.0,0.0
31,4.0,6.0,,,,,,,0.0,0.0
32,3.0,6.0,,,,,,,0.0,0.0
33,3.0,6.0,,,,,,,0.0,0.0
34,3.0,5.0,,,,,,,0.0,0.0
35,4.0,5.0,,,,,,,0.0,0.0
36,3.0,5.0,,,,,,,0.0,0.0
37,4.0,5.0,,,,,,,0.0,0.0
38,4.0,4.0,,,,,,,0.0,0.0
39,4.0,5.0,,,,,,,0.0,0.0
40,4.0,6.0,,,,,4.0,4.0,0.0,0.0
41,3.0,6.0,,,,,,,0.0,0.0
42,4.0,6.0,,,,,,,0.0,0.0
43,3.0,6.0,,,,,,,0.0,0.0
44,2.0,6.0,,,,,,,0.0,0.0
45,2.0,5.0,,,,,4.0,5.0,0.0,0.0
46,2.0,4.0,,,,,,,0.0,0.0
47,1.0,4.0,,,,,,,0.0,0.0
48,1.0,5.0,,,,,,,0.0,0.0
49,1.0,6.0,,,1.0,4.0,,,0.0,0.0
50,0.0,6.0,,,,,3.0,6.0,3.0,0.0
51,0.0,6.0,,,,,3.0,6.0,3.0,0.0
52,0.0,6.0,,,,,3.0,6.0,3.0,0.0
53,0.0,6.0,,,,,,,2.0,0.0
54,1.0,6.0,,,1.0,5.0,3.0,6.0,0.0,0.0
55,1.0,5.0,,,0.0,5.0,3.0,5.0,0.0,0.0
56,2.0,5.0,,,,,4.0,5.0,0.0,1.0
57,3.0,5.0,,,,,3.0,5.0,0.0,1.0
58,3.0,5.0,,,,,2.0,5.0,2.0,0.0
59,4.0,5.0,,,,,,,2.0,1.0
60,4.0,5.0,,,,,,,1.0,0.0
61,3.0,5.0,,,,,3.0,3.0,1.0,0.0
62,4.0,5.0,,,,,,,1.0,0.0
63,4.0,5.0,,,,,,,1.0,1.0
64,4.0,4.0,,,,,,,1.0,0.0
65,4.0,3.0,,,,,,,2.0,1.0
66,4.0,4.0,,,,,,,2.0,1.0
67,4.0,3.0,,,,,,,2.0,1.0
68,5.0,3.0,,,,,,,2.0,1.0
69,4.0,3.0,,,,,,,2.0,0.0
70,3.0,3.0,,,,,0.0,3.0,2.0,0.0
71,4.0,3.0,,,,,,,2.0,0.0
72,5.0,3.0,,,,,,,2.0,0.0
73,5.0,3.0,5.0,2.0,,,0.0,3.0,2.0,0.0
74,5.0,4.0,,,,,,,2.0,0.0
75,5.0,4.0,,,,,,,2.0,0.0
76,5.0,3.0,5.0,1.0,,,,,2.0,0.0
77,6.0,3.0,6.0,1.0,,,0.0,3.0,1.0,0.0
78,6.0,4.0,6.0,2.0,,,,,1.0,0.0
79,6.0,5.0,,,,,,,1.0,0.0
80,6.0,4.0,,,,,,,1.0,0.0
81,6.0,4.0,,,,,,,1.0,0.0
82,6.0,3.0,6.0,2.0,,,0.0,3.0,1.0,0.0
83,6.0,3.0,6.0,2.0,,,1.0,3.0,1.0,0.0
84,6.0,3.0,,,,,2.0,3.0,1.0,0.0
85,6.0,3.0,,,,,,,3.0,0.0
86,6.0,2.0,5.0,2.0,,,,,3.0,0.0
87,5.0,2.0,5.0,3.0,,,,,2.0,0.0
88,4.0,2.0,5.0,2.0,,,,,2.0,0.0
89,4.0,2.0,5.0,2.0,,,,,2.0,0.0
90,5.0,2.0,4.0,2.0,,,,,2.0,0.0
91,5.0,3.0,,,,,3.0,3.0,2.0,0.0
92,6.0,3.0,,,,,2.0,3.0,1.0,1.0
93,6.0,3.0,,,,,1.0,3.0,1.0,0.0
94,6.0,3.0,6.0,1.0,,,1.0,3.0,1.0,0.0
95,6.0,4.0,6.0,1.0,,,1.0,4.0,1.0,0.0
96,6.0,3.0,6.0,1.0,,,,,3.0,0.0
97,6.0,2.0,6.0,1.0,,,,,3.0,0.0
98,6.0,3.0,6.0,1.0,,,,,3.0,0.0
99,5.0,3.0,,,,,1.0,3.0,2.0,0.0
